,piece,current_position,next_position,skip,reward
362,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
363,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
364,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
365,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
366,"(255, 0, 0)","(3, 2)","(4, 1)",-,0
367,"(255, 0, 0)","(4, 1)","(3, 2)",-,0
368,"(255, 0, 0)","(3, 2)","(4, 1)",-,0
369,"(255, 0, 0)","(4, 1)","(3, 0)",-,0
370,"(255, 0, 0)","(3, 0)","(4, 1)",-,0
371,"(255, 0, 0)","(4, 1)","(5, 0)",-,0
372,"(255, 0, 0)","(5, 0)","(6, 1)",-,0
373,"(255, 0, 0)","(6, 1)","(7, 2)",-,4
374,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
375,"(255, 0, 0)","(6, 3)","(7, 4)",-,4
376,"(255, 0, 0)","(7, 4)","(6, 5)",-,0
377,"(255, 0, 0)","(6, 5)","(7, 6)",-,4
378,"(255, 0, 0)","(7, 6)","(6, 7)",-,0
379,"(255, 0, 0)","(6, 7)","(5, 6)",-,0
380,"(255, 0, 0)","(5, 6)","(6, 5)",-,0
381,"(255, 0, 0)","(6, 5)","(7, 6)",-,4
382,"(255, 0, 0)","(7, 6)","(6, 7)",-,0
383,"(255, 0, 0)","(6, 7)","(7, 6)",-,4
384,"(255, 0, 0)","(7, 6)","(6, 5)",-,0
385,"(255, 0, 0)","(6, 5)","(7, 4)",-,4
386,"(255, 0, 0)","(7, 4)","(6, 3)",-,0
387,"(255, 0, 0)","(6, 3)","(7, 2)",-,4
388,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
389,"(255, 0, 0)","(6, 3)","(7, 2)",-,4
390,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
391,"(255, 0, 0)","(6, 3)","(7, 4)",-,4
392,"(255, 0, 0)","(7, 4)","(6, 5)",-,0
393,"(255, 0, 0)","(6, 5)","(7, 4)",-,4
394,"(255, 0, 0)","(7, 4)","(6, 5)",-,0
395,"(255, 0, 0)","(6, 5)","(5, 6)",-,0
396,"(255, 0, 0)","(5, 6)","(6, 5)",-,0
397,"(255, 0, 0)","(6, 5)","(5, 4)",-,0
398,"(255, 0, 0)","(5, 4)","(6, 5)",-,0
399,"(255, 0, 0)","(6, 5)","(5, 4)",-,0
400,"(255, 0, 0)","(5, 4)","(4, 5)",-,0
401,"(255, 0, 0)","(4, 5)","(3, 6)",-,0
402,"(255, 0, 0)","(3, 6)","(2, 7)",-,0
403,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
404,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
405,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
406,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
407,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
408,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
409,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
410,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
411,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
412,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
413,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
414,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
415,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
416,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
417,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
418,"(255, 0, 0)","(1, 6)","(2, 7)",-,0
419,"(255, 0, 0)","(2, 7)","(3, 6)",-,0
420,"(255, 0, 0)","(3, 6)","(2, 7)",-,0
421,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
422,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
423,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
424,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
425,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
426,"(255, 0, 0)","(1, 6)","(2, 7)",-,0
427,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
428,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
429,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
430,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
431,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
432,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
433,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
434,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
435,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
436,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
437,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
438,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
439,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
440,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
441,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
442,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
